id,nama_wisata,kategori,kota,alamat,deskripsi,gambar,fitur,fitur_bersih,latitude,longitude,jam_buka,jam_tutup,rating,telepon,website,harga_tiket,sumber_data,tanggal_verifikasi
11,Rimba Camp,Rekreasi,Jember,"Area Pegunungan Argop, Suci, Kec. Panti, Kabupaten Jember, Jawa Timur 68153","Rimba Camp adalah area camping dan wisata alam di ketinggian pegunungan di Jember, dengan fasilitas dasar seperti tenda, api unggun, jalur trekking, dan pemandangan hutan yang alami. Cocok untuk petualangan alam, perkemahan keluarga, atau kegiatan komunitas.",assets/images/11.png,"Rimba Camp Rekreasi Rekreasi Jember Area Pegunungan Argop, Suci, Kec. Panti, Kabupaten Jember, Jawa Timur 68153 Rimba Camp adalah area camping dan wisata alam di ketinggian pegunungan di Jember, dengan fasilitas dasar seperti tenda, api unggun, jalur trekking, dan pemandangan hutan yang alami. Cocok untuk petualangan alam, perkemahan keluarga, atau kegiatan komunitas.",rimba camp rekreasi rekreasi jember area pegunungan argop suci kec panti kabupaten jember jawa timur rimba camp area camping wisata alam ketinggian pegunungan jember fasilitas dasar tenda api unggun jalur trekking pemandangan hutan alami cocok petualangan alam perkemahan keluarga kegiatan komunitas,[Unverified],[Unverified],[Unverified],[Unverified],[Unverified],[Unverified],[Unverified],[Unverified],[Unverified],2026-07-20
12,Pantai Papuma,Pantai,Jember,"Jl. Raya Lojejer, Area Kebun, Lojejer, Kec. Wuluhan, Kabupaten Jember, Jawa Timur 68162","Pantai Papuma (Pasir Putih Malikan) adalah pantai populer di Jember dengan pasir putih, tebing karang, dan panorama laut yang luas. Pengunjung bisa melakukan snorkeling, berjalan di tebing, menikmati ombak atau foto-foto di spot batu karang. Papuma juga sering dijadikan objek wisata utama di Jember.",assets/images/12.png,"Pantai Papuma Pantai Pantai Jember Jl. Raya Lojejer, Area Kebun, Lojejer, Kec. Wuluhan, Kabupaten Jember, Jawa Timur 68162 Pantai Papuma (Pasir Putih Malikan) adalah pantai populer di Jember dengan pasir putih, tebing karang, dan panorama laut yang luas. Pengunjung bisa melakukan snorkeling, berjalan di tebing, menikmati ombak atau foto-foto di spot batu karang. Papuma juga sering dijadikan objek wisata utama di Jember.",pantai papuma pantai pantai jember jl raya lojejer area kebun lojejer kec wuluhan kabupaten jember jawa timur pantai papuma pasir putih malikan pantai populer jember pasir putih tebing karang panorama laut luas pengunjung bisa melakukan snorkeling berjalan tebing menikmati ombak foto foto spot batu karang papuma sering dijadikan objek wisata utama jember,-8.4239,113.5658,Buka 24 jam,Buka 24 jam,[Unverified],[Unverified],[Unverified],Rp 25.000,Situs Resmi Perhutani/Tanjung Papuma,2026-07-20
13,Pemandian Patemon,Rekreasi,Jember,"Krajan II, Patemon, Kec. Tanggul, Kabupaten Jember, Jawa Timur 68155","Pemandian Patemon adalah pemandian air tawar lokal di kawasan Tanggul, di mana masyarakat dapat menikmati air segar alam, relaksasi, serta suasana pedesaan sekitar. Tempat ini cocok sebagai destinasi lokal untuk menghindari keramaian.",assets/images/13.png,"Pemandian Patemon Rekreasi Rekreasi Jember Krajan II, Patemon, Kec. Tanggul, Kabupaten Jember, Jawa Timur 68155 Pemandian Patemon adalah pemandian air tawar lokal di kawasan Tanggul, di mana masyarakat dapat menikmati air segar alam, relaksasi, serta suasana pedesaan sekitar. Tempat ini cocok sebagai destinasi lokal untuk menghindari keramaian.",pemandian patemon rekreasi rekreasi jember krajan ii patemon kec tanggul kabupaten jember jawa timur pemandian patemon pemandian air tawar lokal kawasan tanggul mana masyarakat menikmati air segar alam relaksasi suasana pedesaan sekitar tempat cocok sebagai destinasi lokal menghindari keramaian,-8.0833,113.5683,07:00,17:00,[Unverified],[Unverified],[Unverified],Rp 15.000,Google Maps,2026-07-20
14,Air Terjun Kebun Rayap,Air Terjun,Jember,"Area Sawah/Kebun, Panduman, Kec. Jelbuk, Kabupaten Jember, Jawa Timur 68151","Air Terjun Kebun Rayap terletak di area kebun dan persawahan di Jelbuk, dengan aliran air yang menyejukkan dan suasana alam asri. Pengunjung bisa trekking ringan menuju lokasi, menikmati suara alam, mandi di kolam alami, dan piknik di area sekitar air terjun.",assets/images/14.png,"Air Terjun Kebun Rayap Air Terjun Air Terjun Jember Area Sawah/Kebun, Panduman, Kec. Jelbuk, Kabupaten Jember, Jawa Timur 68151 Air Terjun Kebun Rayap terletak di area kebun dan persawahan di Jelbuk, dengan aliran air yang menyejukkan dan suasana alam asri. Pengunjung bisa trekking ringan menuju lokasi, menikmati suara alam, mandi di kolam alami, dan piknik di area sekitar air terjun.",air terjun kebun rayap air terjun air terjun jember area sawah kebun panduman kec jelbuk kabupaten jember jawa timur air terjun kebun rayap terletak area kebun persawahan jelbuk aliran air menyejukkan suasana alam asri pengunjung bisa trekking ringan menuju lokasi menikmati suara alam mandi kolam alami piknik area sekitar air terjun,[Unverified],[Unverified],[Unverified],[Unverified],[Unverified],[Unverified],[Unverified],[Unverified],[Unverified],2026-07-20
15,PPG Pinus Sidomulyo,Agrowisata,Jember,"Curah Damar, Sidomulyo, Kec. Silo, Kabupaten Jember, Jawa Timur 68184","PPG Pinus Sidomulyo adalah kawasan agrowisata pinus di Sidomulyo, di mana pengunjung bisa berjalan di antara barisan pohon pinus, menikmati udara segar, serta spot-spot foto estetik. Mungkin juga ada fasilitas edukasi tentang pohon pinus atau konservasi.",assets/images/15.png,"PPG Pinus Sidomulyo Agrowisata Agrowisata Jember Curah Damar, Sidomulyo, Kec. Silo, Kabupaten Jember, Jawa Timur 68184 PPG Pinus Sidomulyo adalah kawasan agrowisata pinus di Sidomulyo, di mana pengunjung bisa berjalan di antara barisan pohon pinus, menikmati udara segar, serta spot-spot foto estetik. Mungkin juga ada fasilitas edukasi tentang pohon pinus atau konservasi.",ppg pinus sidomulyo agrowisata agrowisata jember curah damar sidomulyo kec silo kabupaten jember jawa timur ppg pinus sidomulyo kawasan agrowisata pinus sidomulyo mana pengunjung bisa berjalan barisan pohon pinus menikmati udara segar spot spot foto estetik mungkin fasilitas edukasi pohon pinus konservasi,-8.1182,113.8569,08:00,16:00,[Unverified],[Unverified],[Unverified],Rp 5.000,Google Maps,2026-07-20
16,Taman Galaxy,Rekreasi,Jember,"Area Sawah/Kebun, Tempurejo, Kec. Tempurejo, Kabupaten Jember, Jawa Timur 68173","Taman Galaxy adalah ruang terbuka hijau di Tempurejo yang menawarkan area jalan halus, taman lanskap, area duduk santai, dan panorama pedesaan. Tempat yang cocok untuk piknik sore, jogging ringan, atau nongkrong santai di alam terbuka.",assets/images/16.png,"Taman Galaxy Rekreasi Rekreasi Jember Area Sawah/Kebun, Tempurejo, Kec. Tempurejo, Kabupaten Jember, Jawa Timur 68173 Taman Galaxy adalah ruang terbuka hijau di Tempurejo yang menawarkan area jalan halus, taman lanskap, area duduk santai, dan panorama pedesaan. Tempat yang cocok untuk piknik sore, jogging ringan, atau nongkrong santai di alam terbuka.",taman galaxy rekreasi rekreasi jember area sawah kebun tempurejo kec tempurejo kabupaten jember jawa timur taman galaxy ruang terbuka hijau tempurejo menawarkan area jalan halus taman lanskap area duduk santai panorama pedesaan tempat cocok piknik sore jogging ringan nongkrong santai alam terbuka,-8.2711,113.6828,08:00,16:00,[Unverified],[Unverified],[Unverified],Rp 10.000,Google Maps,2026-07-20
17,Air Terjun Tancak,Air Terjun,Jember,"Area Pegunungan Argop, Suci, Kec. Panti, Kabupaten Jember, Jawa Timur 68153","Air Terjun Tancak terletak dalam kawasan pegunungan Argop di Panti, Jember. Dengan suara gemericik air dan suasana hutan, pengunjung bisa trekking ke sumber air terjun, menikmati pemandangan alam, serta bersantai di kolam alaminya.",assets/images/17.png,"Air Terjun Tancak Air Terjun Air Terjun Jember Area Pegunungan Argop, Suci, Kec. Panti, Kabupaten Jember, Jawa Timur 68153 Air Terjun Tancak terletak dalam kawasan pegunungan Argop di Panti, Jember. Dengan suara gemericik air dan suasana hutan, pengunjung bisa trekking ke sumber air terjun, menikmati pemandangan alam, serta bersantai di kolam alaminya.",air terjun tancak air terjun air terjun jember area pegunungan argop suci kec panti kabupaten jember jawa timur air terjun tancak terletak dalam kawasan pegunungan argop panti jember suara gemericik air suasana hutan pengunjung bisa trekking sumber air terjun menikmati pemandangan alam bersantai kolam alaminya,-8.1189,113.6067,07:00,16:00,[Unverified],[Unverified],[Unverified],Rp 5.000,Google Maps,2026-07-20
18,Air Terjun Antrokan,Air Terjun,Jember,"Kali Tengah, Manggisan, Kec. Tanggul, Kabupaten Jember, Jawa Timur 68155","Air Terjun Antrokan berada di area perbukitan Tanggul, menyajikan aliran air jernih dan dinding batu yang eksotis. Cocok bagi pecinta alam yang ingin menjelajah jalur air terjun dan menyatu dengan alam.",assets/images/18.png,"Air Terjun Antrokan Air Terjun Air Terjun Jember Kali Tengah, Manggisan, Kec. Tanggul, Kabupaten Jember, Jawa Timur 68155 Air Terjun Antrokan berada di area perbukitan Tanggul, menyajikan aliran air jernih dan dinding batu yang eksotis. Cocok bagi pecinta alam yang ingin menjelajah jalur air terjun dan menyatu dengan alam.",air terjun antrokan air terjun air terjun jember kali tengah manggisan kec tanggul kabupaten jember jawa timur air terjun antrokan area perbukitan tanggul menyajikan aliran air jernih dinding batu eksotis cocok pecinta alam ingin menjelajah jalur air terjun menyatu alam,-8.1215,113.5283,07:00,16:00,[Unverified],[Unverified],[Unverified],Rp 5.000,Google Maps,2026-07-20
19,Air Terjun Tancak Tulis,Air Terjun,Jember,"Area Hutan, Darungan, Kec. Tanggul, Kabupaten Jember, Jawa Timur 68155","Air Terjun Tancak Tulis berada di area hutan Darungan, Tanggul. Dengan suasana yang lebih tersembunyi, trek alam yang menantang, serta pemandangan dinding batu berair, destinasi ini pas untuk petualangan alam dan eksplorasi air terjun.",assets/images/19.png,"Air Terjun Tancak Tulis Air Terjun Air Terjun Jember Area Hutan, Darungan, Kec. Tanggul, Kabupaten Jember, Jawa Timur 68155 Air Terjun Tancak Tulis berada di area hutan Darungan, Tanggul. Dengan suasana yang lebih tersembunyi, trek alam yang menantang, serta pemandangan dinding batu berair, destinasi ini pas untuk petualangan alam dan eksplorasi air terjun.",air terjun tancak tulis air terjun air terjun jember area hutan darungan kec tanggul kabupaten jember jawa timur air terjun tancak tulis area hutan darungan tanggul suasana lebih tersembunyi trek alam menantang pemandangan dinding batu berair destinasi pas petualangan alam eksplorasi air terjun,-8.04,113.49,07:00,16:00,[Unverified],[Unverified],[Unverified],Rp 5.000,Google Maps,2026-07-20
20,Taman Botani Sukorambi,Rekreasi,Jember,"Jl. Mujahir, Krajan, Sukorambi, Kec. Sukorambi, Kabupaten Jember, Jawa Timur 68151","Taman Botani Sukorambi adalah kebun botani seluas beberapa hektar di Sukorambi, Jember. Tempat ini memiliki koleksi tanaman obat, bunga, dan pepohonan langka; juga fasilitas seperti kolam, pusat bacaan, flying fox, cafe, dan jalur pejalan kaki yang integral untuk edukasi botani dan rekreasi alam.",assets/images/20.png,"Taman Botani Sukorambi Rekreasi Rekreasi Jember Jl. Mujahir, Krajan, Sukorambi, Kec. Sukorambi, Kabupaten Jember, Jawa Timur 68151 Taman Botani Sukorambi adalah kebun botani seluas beberapa hektar di Sukorambi, Jember. Tempat ini memiliki koleksi tanaman obat, bunga, dan pepohonan langka; juga fasilitas seperti kolam, pusat bacaan, flying fox, cafe, dan jalur pejalan kaki yang integral untuk edukasi botani dan rekreasi alam.",taman botani sukorambi rekreasi rekreasi jember jl mujahir krajan sukorambi kec sukorambi kabupaten jember jawa timur taman botani sukorambi kebun botani seluas hektar sukorambi jember tempat memiliki koleksi tanaman obat bunga pepohonan langka fasilitas kolam pusat bacaan flying fox cafe jalur pejalan kaki integral edukasi botani rekreasi alam,-8.1565,113.6552,07:00,16:00,[Unverified],[Unverified],[Unverified],Rp 20.000,Situs Resmi Botani Sukorambi,2026-07-20
21,Pantai Payangan,Pantai,Jember,"Pantai Payangan, Jl. Sidomulyo, Sido Mulyo, Sumberrejo, Kec. Ambulu, Kabupaten Jember, Jawa Timur 68172","Pantai Payangan menawarkan pantai eksotis dengan kombinasi pasir, batu karang, dan pemandangan tebing di latar belakang. Cocok bagi wisatawan yang mencari suasana pantai yang lebih tenang dan alami di Jember selatan.",assets/images/21.png,"Pantai Payangan Pantai Pantai Jember Pantai Payangan, Jl. Sidomulyo, Sido Mulyo, Sumberrejo, Kec. Ambulu, Kabupaten Jember, Jawa Timur 68172 Pantai Payangan menawarkan pantai eksotis dengan kombinasi pasir, batu karang, dan pemandangan tebing di latar belakang. Cocok bagi wisatawan yang mencari suasana pantai yang lebih tenang dan alami di Jember selatan.",pantai payangan pantai pantai jember pantai payangan jl sidomulyo sido mulyo sumberrejo kec ambulu kabupaten jember jawa timur pantai payangan menawarkan pantai eksotis kombinasi pasir batu karang pemandangan tebing latar cocok wisatawan mencari suasana pantai lebih tenang alami jember selatan,-8.3934,113.5659,Buka 24 jam,Buka 24 jam,[Unverified],[Unverified],[Unverified],Rp 10.000,"Google Maps, Traveloka",2026-07-20
