id,topik,deskripsi,content
k27,Oleh-oleh Khas Jember,"Oleh-oleh yang wajib dibawa dari Jember: (1) Suwar-suwir (permen tape ketan), (2) Prol Tape (kue dari tape singkong), (3) Edamame kering kemasan, (4) Tape Bondowoso (dari daerah sekitar), (5) Keripik Tempe dan produk UMKM lokal. Banyak toko oleh-oleh di sepanjang Jl. Sultan Agung dan sekitar pusat kota Jember.","Topik: Oleh-oleh Khas Jember. Detail: Suwar-suwir, Prol Tape, Edamame kemasan, Tape, Keripik Tempe. Banyak toko di Jl. Sultan Agung dan pusat kota."
k28,Toko Oleh-oleh Suwar-suwir,"Suwar-suwir merupakan permen tape khas Jember yang terkenal. Bisa dibeli di berbagai toko oleh-oleh di Jember, terutama di sepanjang Jl. Sultan Agung, Jl. Ahmad Yani, dan pusat perbelanjaan Jember Town Square (JTS). Banyak juga yang jual online. Merek terkenal antara lain UD. Lataza dan beberapa brand lokal lainnya.","Topik: Oleh-oleh Suwar-suwir. Detail: Tersedia di toko sepanjang Jl. Sultan Agung, Jl. Ahmad Yani, dan JTS. Merek terkenal: UD. Lataza."
k29,Kuliner Nasi Pecel Jember,"Nasi Pecel adalah salah satu kuliner populer di Jember. Nasi pecel Jember biasanya disajikan dengan sayuran rebus (kangkung, tauge, kacang panjang) disiram bumbu kacang khas. Banyak warung nasi pecel di sekitar pusat kota, pasar, dan kampus. Harga sangat terjangkau sekitar Rp 8.000-15.000 per porsi.","Topik: Kuliner Nasi Pecel Jember. Detail: Nasi dengan sayur rebus dan bumbu kacang khas. Banyak di pusat kota dan pasar. Harga Rp 8.000-15.000/porsi."
k30,Kuliner Soto Jember,"Soto khas Jember atau Soto Madura adalah kuliner yang populer di Jember mengingat banyaknya warga keturunan Madura. Soto berbahan daging sapi atau ayam dengan kuah bening atau kuning bercita rasa gurih. Banyak warung soto di sekitar pusat kota Jember. Kisaran harga Rp 10.000-25.000 per porsi (bisa berubah, disarankan konfirmasi ke warung).","Topik: Kuliner Soto Jember. Detail: Soto Madura (sapi/ayam, kuah bening/kuning) populer di Jember. Banyak warung di pusat kota. Kisaran harga Rp 10.000-25.000/porsi (konfirmasi langsung)."
k31,Kuliner Edamame Jember,"Edamame (kedelai Jepang) adalah salah satu komoditas unggulan Jember yang diekspor ke Jepang dan negara lain. Bisa dimakan sebagai camilan: direbus dengan garam, atau digoreng kering. Bisa dibeli di supermarket, pasar, atau toko oleh-oleh Jember dalam bentuk segar maupun kemasan kering.","Topik: Kuliner Edamame Jember. Detail: Kedelai Jepang unggulan Jember. Bisa direbus (camilan) atau kemasan kering oleh-oleh. Tersedia di supermarket, pasar, dan toko oleh-oleh."
k32,Rumah Sakit Jember,"Rumah sakit utama di Jember: RSUD Dr. Soebandi (Jl. Dr. Soebandi, telp 0331-487564), RS Bina Sehat (swasta), RS DKT (Jl. Kesehatan), RS Islam Multazam (Jl. Mastrip). Untuk UGD/IGD 24 jam tersedia di RSUD Dr. Soebandi dan beberapa RS swasta. Jika darurat, hubungi 118 (ambulans) atau 112.","Topik: Rumah Sakit Jember. Detail: RSUD Dr. Soebandi (0331-487564), RS Bina Sehat, RS DKT, RS Islam Multazam. UGD 24 jam di RSUD Soebandi. Darurat: 118 atau 112."
k33,Geografi Jember,"Kabupaten Jember terletak di Provinsi Jawa Timur dengan luas sekitar 3.293 km². Berbatasan dengan: Bondowoso (utara), Banyuwangi (timur), Samudra Hindia (selatan), dan Lumajang (barat). Terdiri dari 31 kecamatan. Kota Jember sebagai pusat pemerintahan terletak di tengah kabupaten.","Topik: Geografi Jember. Detail: Luas 3.293 km², 31 kecamatan. Berbatasan dengan Bondowoso (utara), Banyuwangi (timur), Samudra Hindia (selatan), Lumajang (barat)."
k34,Jember Dekat Kota Apa,"Jember berdekatan dengan beberapa kota Jawa Timur: Banyuwangi (80 km, 2 jam - paling dekat ke timur), Bondowoso (40 km, 1 jam - ke utara), Situbondo (90 km, 2 jam), Lumajang (60 km, 1.5 jam - ke barat), Probolinggo (120 km, 2-3 jam), Malang (140 km, 3-4 jam), Surabaya (200 km, 4-5 jam).","Topik: Jarak Jember ke Kota Lain. Detail: Banyuwangi 80km/2jam, Bondowoso 40km/1jam, Lumajang 60km/1.5jam, Probolinggo 120km/2-3jam, Malang 140km/3-4jam, Surabaya 200km/4-5jam."
k35,Sejarah Jember Singkat,"Kabupaten Jember didirikan pada 1 Januari 1929 pada masa kolonial Belanda. Jember berkembang pesat sebagai pusat perkebunan tembakau dan karet. Nama Jember berasal dari kata bahasa Jawa Kuno yang berarti tempat yang teduh/rindang. Jember terkenal sebagai daerah Pandhalungan - perpaduan budaya Jawa dan Madura.","Topik: Sejarah Jember. Detail: Didirikan 1 Januari 1929 era kolonial. Berkembang dari perkebunan tembakau dan karet. Pandhalungan = perpaduan budaya Jawa-Madura."
k36,Budaya Pandhalungan,"Budaya Pandhalungan adalah perpaduan unik budaya Jawa dan Madura yang menjadi ciri khas Jember. Hal ini terlihat dari bahasa sehari-hari (campuran Jawa-Madura-Indonesia), kesenian (Tari Lahbako, Tari Pandhalungan), kuliner, dan tradisi masyarakat. JFC (Jember Fashion Carnaval) adalah ekspresi budaya Pandhalungan modern yang mendunia.","Topik: Budaya Pandhalungan Jember. Detail: Perpaduan budaya Jawa-Madura. Terlihat dari bahasa, kesenian (Tari Lahbako, Tari Pandhalungan), kuliner, dan JFC."
k37,Kesenian Tradisional Jember,"Kesenian tradisional khas Jember antara lain: (1) Tari Lahbako - tari tradisional yang menggambarkan proses pemetikan daun tembakau, (2) Tari Pandhalungan - tari perpaduan budaya Jawa-Madura, (3) Hadrah/Rebana - kesenian musik Islami yang populer, (4) Patrol - kesenian musik tradisional dari kaleng/botol, (5) Ludruk - teater rakyat Jawa Timur.","Topik: Kesenian Tradisional Jember. Detail: Tari Lahbako (tembakau), Tari Pandhalungan (Jawa-Madura), Hadrah/Rebana, Patrol (musik tradisional), Ludruk (teater rakyat)."
k38,Jember Fashion Carnaval JFC,"Jember Fashion Carnaval (JFC) adalah event karnaval fashion internasional yang diadakan setiap tahun di Jember, biasanya sekitar bulan Agustus. JFC telah masuk kalender event nasional dan diakui dunia sebagai salah satu karnaval terbesar di Asia. Peserta menampilkan kostum tematik yang spektakuler di sepanjang jalan utama kota Jember. Pendiri JFC adalah Dynand Fariz.","Topik: JFC Jember Fashion Carnaval. Detail: Event karnaval fashion internasional tiap Agustus. Salah satu karnaval terbesar Asia. Kostum tematik di jalan utama kota. Pendiri: Dynand Fariz."
k39,Info Tiket JFC,"Jember Fashion Carnaval (JFC) biasanya memiliki tribun berbayar untuk penonton, selain area gratis di pinggir jalan. Harga tiket tribun bervariasi tiap tahun. Untuk info tiket JFC terkini, disarankan cek website resmi JFC atau media sosial JFC. Info lengkap juga bisa ditemukan di website Dinas Pariwisata Kabupaten Jember.","Topik: Tiket JFC. Detail: Ada tribun berbayar dan area gratis. Harga bervariasi. Cek info terkini di website resmi JFC atau Dinas Pariwisata Jember."
k40,Pasar Tradisional Jember,"Pasar tradisional utama di Jember: Pasar Tanjung (pusat kota, pasar terbesar), Pasar Kepatihan, Pasar Kreongan, Pasar Gebang, Pasar Mayang. Pasar Tanjung buka dari subuh hingga sore hari, menjual berbagai kebutuhan mulai dari sayur, buah, daging, hingga oleh-oleh khas Jember.","Topik: Pasar Tradisional Jember. Detail: Pasar Tanjung (terbesar, buka subuh-sore), Pasar Kepatihan, Kreongan, Gebang, Mayang. Bisa cari oleh-oleh di Pasar Tanjung."
k41,Mall dan Pusat Perbelanjaan Jember,"Pusat perbelanjaan di Jember: Jember Town Square (JTS) di Jl. Sultan Agung (terbesar), Roxy Square, Golden Market, Matahari Department Store, dan beberapa mini plaza di kecamatan. JTS adalah mall terlengkap dengan bioskop, food court, dan berbagai brand nasional.","Topik: Mall Jember. Detail: Jember Town Square/JTS (terbesar, ada bioskop dan food court), Roxy Square, Golden Market, Matahari. Lokasi JTS di Jl. Sultan Agung."
k42,Wisata Agro Jember,"Wisata agrowisata di Jember: Puslit Kopi dan Kakao Indonesia (Puslitkoka) di Rambipuji - bisa belajar proses kopi-cokelat dari kebun ke produk, Perkebunan Tembakau (beberapa lokasi), kebun salak, kebun jeruk di daerah Arjasa dan Panti. Jember terkenal sebagai daerah agrowisata dan perkebunan.","Topik: Wisata Agro Jember. Detail: Puslitkoka Rambipuji (kopi-kakao edukasi), perkebunan tembakau, kebun salak dan jeruk di Arjasa dan Panti."
k43,Pendakian Gunung Jember,"Untuk pendaki, dari Jember bisa mendaki Gunung Argopuro (3.088 mdpl) via jalur Baderan (Situbondo) atau Bremi (Probolinggo). Gunung Raung (3.332 mdpl) juga bisa diakses dari Jember via Sumber Wringin, Bondowoso. Untuk pendakian wajib registrasi online dan mempersiapkan fisik serta perlengkapan yang memadai.","Topik: Pendakian Gunung dari Jember. Detail: Argopuro 3.088mdpl (via Baderan atau Bremi), Raung 3.332mdpl (via Sumber Wringin Bondowoso). Wajib registrasi online."
k44,Wisata Air Terjun Jember,"Air terjun yang bisa dikunjungi dari Jember: Air Terjun Tancak di Kecamatan Panti (akses via jalan menuju Bondowoso), Air Terjun Antrokan di daerah Panti, dan beberapa air terjun di kawasan Taman Nasional Meru Betiri di Tempurejo. Akses ke kawasan ini disarankan menggunakan kendaraan pribadi dan membawa pemandu lokal.","Topik: Air Terjun Jember. Detail: Air Terjun Tancak (Panti), Antrokan (Panti), dan beberapa di TN Meru Betiri (Tempurejo). Akses pakai kendaraan pribadi."
k45,Taman Nasional Meru Betiri,"Taman Nasional Meru Betiri (TNMB) terletak di Kecamatan Tempurejo, Jember dan Banyuwangi. TNMB adalah habitat asli Harimau Jawa (meski dianggap punah) dan berbagai flora-fauna langka. Ada pantai Sukamade (penyu bertelur), Teluk Hijau, dan hutan tropis. Akses memerlukan izin masuk dan disarankan pakai pemandu.","Topik: Taman Nasional Meru Betiri. Detail: Di Tempurejo, Jember. Habitat flora-fauna langka. Ada Pantai Sukamade (penyu), Teluk Hijau, hutan tropis. Perlu izin dan pemandu."
k46,Info ATM dan Bank di Jember,"Di Jember tersedia ATM dari berbagai bank nasional: BCA, BNI, BRI, Mandiri, BTN tersebar di pusat kota, mall, dan kecamatan besar. Banyak ATM di sekitar Jl. Sultan Agung, Jl. PB Sudirman, Jl. Ahmad Yani, dan Jember Town Square. Di sekitar pantai/wisata terpencil ATM sangat terbatas, disarankan siapkan uang tunai sebelum ke lokasi wisata terpencil.","Topik: ATM di Jember. Detail: BCA/BNI/BRI/Mandiri tersebar di kota. Banyak di Sultan Agung, PB Sudirman, Ahmad Yani, JTS. Di pantai terpencil ATM terbatas - siapkan tunai."
k47,Tips Wisata ke Jember,"Tips wisata ke Jember: (1) Waktu terbaik Mei-September (kemarau) khususnya untuk pantai. (2) Sewa kendaraan direkomendasikan karena transportasi umum ke pantai terbatas. (3) Bawa uang tunai ke wisata pantai karena ATM jarang. (4) Pantai selatan Jember ombaknya kuat, hati-hati berenang. (5) Bawa perlengkapan cuaca hujan jika Oktober-April.","Topik: Tips Wisata Jember. Detail: (1) Musim terbaik Mei-Sep, (2) Sewa kendaraan, (3) Siapkan tunai, (4) Hati-hati ombak pantai selatan, (5) Bawa jas hujan jika Oct-Apr."
k48,Telepon Penting Pariwisata Jember,"Kontak penting seputar pariwisata Jember: Dinas Kebudayaan dan Pariwisata Kab. Jember (0331) 487105 | Info Wisata Jember: website: jemberkab.go.id | Media Sosial Pemkab Jember: @jemberkab | Polisi Pariwisata Jember (0331) 487720 (Polres). Untuk darurat umum: 112.","Topik: Telepon Pariwisata Jember. Detail: Disbudpar Jember: (0331) 487105 | Website: jemberkab.go.id | Polres: (0331) 487720 | Darurat: 112."
